filename,duration
Aaron Jacobs - Introducing xrprof_ A New Way to Profile R - website [English].srt,18:14
Allison Horst - R Art Lessons -Live stream [English].srt,19:32
Allison Horst - R Art Lessons -Live stream.es-es.es.srt,19:32
Andrew Tran - The Opiod Files and Accessible Data - website [English].srt,18:45
Bravo C 4.1 Racial Equity Dashboard - Nicholas Pylypiw Website [English].srt,04:45
Delta B 4.4 The power of Great Datasets - Alex Cookson - Website [English].srt,05:02
Emily Riederer - oRganization - website [English].srt,19:40
Eric Cronstrom - How We Made the Switch - website [English].srt,12:43
Hadley Wickham - Maintaining the house that tidyverse built - Live stream [English].srt,33:00
Irene Steves - Dynamic Duo - website [English].srt,17:59
Javier Luraschi 0 Using pins with Python and JavaScript - website [English].srt,19:24
Jeroen Ooms - Monitoring health and impact of open-source projects - website [English].srt,20:19
Jeroen Ooms - Monitoring health and impact of open-source projects - website.es-es.srt,20:19
Jeroen Ooms - Monitoring health and impact of open-source projects - website.zh-si.zh.srt,20:19
JooYoung Seo - Accessible Data Science Beyond Visual Models_ Non-Visual Interactions with R and RStudio Packages - website [English].srt,19:34
Kara Woo - Always Look on the Bright Side of Plots - website [English].srt,21:56
Malcolm Barrett - You're Already Ready - website [English].srt,15:13
Marcus Adams - Not The App We Deserve. The App We Need Putting a GMP Shiny App into Production - website.es-es.srt,20:57
Marcus Adams - Not The App We Deserve. The App We Need Putting a GMP Shiny App into Production - website.zh-si.srt,20:57
Marcus Adams - Not The App We Deserve. The App We Need_ Putting a GMP Shiny App into Production - website [English].srt,20:57
Max Kuhn - What's New in Tidymodels_ - Live Stream [English].srt,16:22
Maya Gans - Starting an R Bookclub - website [English].srt,07:06
Megan Beckett - Aesthetically automated figure production - website [English].srt,18:46
Michael Chow - Bringing the Tidyverse to Python with Siuba - Live stream [English].srt,19:17
Mine Cetinkaya-Rundel - Feedback at scale - website [English].srt,20:06
Neal Richardson -Expanding the Possibilities of R Using Apache Arrow - Website [English].srt,19:55
Nicole Kramer - A New Paradigm for Multifigure Coordinate-Based Plotting in R - website [English].srt,14:08
Rika Gorn - From Zero to Hero - website [English].srt,17:34
Sean Lopp - R &amp; Python_ Going Steady - website [English].srt,15:15
